national,south,north,east,central,west,timestamp
59,57,54,59,57,56,2016-02-08T23:00:00+08:00
59,57,55,59,57,56,2016-02-09T01:00:00+08:00
59,57,55,59,56,56,2016-02-09T02:00:00+08:00
59,58,55,59,56,56,2016-02-09T03:00:00+08:00
59,58,55,59,56,56,2016-02-09T04:00:00+08:00
59,58,55,59,57,56,2016-02-09T05:00:00+08:00
60,58,55,60,57,56,2016-02-09T06:00:00+08:00
60,58,56,60,57,56,2016-02-09T07:00:00+08:00
61,58,57,61,57,56,2016-02-09T08:00:00+08:00
61,58,57,61,57,57,2016-02-09T09:00:00+08:00
62,58,57,62,57,57,2016-02-09T10:00:00+08:00
62,58,58,62,58,58,2016-02-09T11:00:00+08:00
62,58,58,62,58,58,2016-02-09T12:00:00+08:00
63,59,58,63,59,59,2016-02-09T13:00:00+08:00
63,59,59,63,59,59,2016-02-09T14:00:00+08:00
63,59,59,63,59,60,2016-02-09T15:00:00+08:00
63,59,59,63,59,60,2016-02-09T16:00:00+08:00
64,60,59,64,59,60,2016-02-09T17:00:00+08:00
63,60,59,63,59,60,2016-02-09T18:00:00+08:00
63,60,59,63,59,60,2016-02-09T19:00:00+08:00
63,59,58,63,59,60,2016-02-09T20:00:00+08:00
63,59,59,63,59,60,2016-02-09T21:00:00+08:00
63,59,58,63,59,60,2016-02-09T22:00:00+08:00
63,59,58,63,59,60,2016-02-09T23:00:00+08:00
62,58,57,62,59,59,2016-02-10T01:00:00+08:00
62,58,57,62,58,59,2016-02-10T02:00:00+08:00
62,57,56,62,58,58,2016-02-10T03:00:00+08:00
62,57,56,62,58,58,2016-02-10T04:00:00+08:00
61,56,55,61,57,57,2016-02-10T05:00:00+08:00
61,56,55,61,57,57,2016-02-10T06:00:00+08:00
61,56,55,61,57,56,2016-02-10T07:00:00+08:00
60,55,54,60,56,56,2016-02-10T08:00:00+08:00
60,55,54,60,56,56,2016-02-10T09:00:00+08:00
60,55,53,60,55,55,2016-02-10T10:00:00+08:00
59,54,53,59,55,55,2016-02-10T11:00:00+08:00
59,54,53,59,55,54,2016-02-10T12:00:00+08:00
58,54,53,58,54,54,2016-02-10T13:00:00+08:00
58,53,53,58,54,53,2016-02-10T14:00:00+08:00
58,54,53,58,53,53,2016-02-10T15:00:00+08:00
57,54,53,57,53,53,2016-02-10T16:00:00+08:00
57,53,52,57,53,53,2016-02-10T17:00:00+08:00
57,53,52,57,53,53,2016-02-10T18:00:00+08:00
57,53,52,57,52,53,2016-02-10T19:00:00+08:00
56,53,52,56,52,53,2016-02-10T20:00:00+08:00
56,53,51,56,51,52,2016-02-10T21:00:00+08:00
55,52,51,55,50,52,2016-02-10T22:00:00+08:00
55,51,48,55,47,51,2016-02-10T23:00:00+08:00
54,48,47,54,44,48,2016-02-11T01:00:00+08:00
53,47,45,53,43,46,2016-02-11T02:00:00+08:00
52,47,44,52,42,44,2016-02-11T03:00:00+08:00
52,45,42,52,41,43,2016-02-11T04:00:00+08:00
51,44,40,51,38,41,2016-02-11T05:00:00+08:00
49,43,39,49,36,40,2016-02-11T06:00:00+08:00
47,40,37,47,35,39,2016-02-11T07:00:00+08:00
45,41,35,45,35,37,2016-02-11T08:00:00+08:00
44,40,34,44,34,35,2016-02-11T09:00:00+08:00
41,39,34,41,34,35,2016-02-11T10:00:00+08:00
40,39,33,40,32,32,2016-02-11T11:00:00+08:00
37,36,32,37,31,33,2016-02-11T12:00:00+08:00
36,35,32,36,30,31,2016-02-11T13:00:00+08:00
35,35,30,35,30,31,2016-02-11T14:00:00+08:00
33,32,29,33,28,29,2016-02-11T15:00:00+08:00
31,29,28,31,27,28,2016-02-11T16:00:00+08:00
30,28,27,30,26,27,2016-02-11T17:00:00+08:00
28,26,27,28,25,26,2016-02-11T18:00:00+08:00
28,26,26,28,25,26,2016-02-11T19:00:00+08:00
28,26,26,28,25,26,2016-02-11T20:00:00+08:00
29,25,26,29,25,26,2016-02-11T21:00:00+08:00
28,26,27,28,27,27,2016-02-11T22:00:00+08:00
30,27,28,30,28,27,2016-02-11T23:00:00+08:00
34,30,28,34,33,29,2016-02-12T01:00:00+08:00
35,31,29,35,33,29,2016-02-12T02:00:00+08:00
36,31,30,36,34,30,2016-02-12T03:00:00+08:00
36,33,30,36,34,30,2016-02-12T04:00:00+08:00
37,32,29,37,35,32,2016-02-12T05:00:00+08:00
38,33,30,38,35,32,2016-02-12T06:00:00+08:00
38,34,30,38,36,32,2016-02-12T07:00:00+08:00
39,35,32,39,36,32,2016-02-12T08:00:00+08:00
39,36,32,39,36,34,2016-02-12T09:00:00+08:00
40,35,32,40,37,33,2016-02-12T10:00:00+08:00
41,36,32,41,38,36,2016-02-12T11:00:00+08:00
44,43,35,44,43,37,2016-02-12T16:00:00+08:00
46,44,36,46,44,38,2016-02-12T17:00:00+08:00
47,47,37,47,46,38,2016-02-12T18:00:00+08:00
46,46,38,46,46,38,2016-02-12T19:00:00+08:00
46,46,38,45,45,37,2016-02-12T20:00:00+08:00
46,46,37,44,45,35,2016-02-12T21:00:00+08:00
47,47,36,44,46,36,2016-02-12T22:00:00+08:00
50,50,36,43,48,35,2016-02-12T23:00:00+08:00
49,49,36,41,49,36,2016-02-13T01:00:00+08:00
50,49,36,40,50,37,2016-02-13T02:00:00+08:00
51,50,37,40,51,38,2016-02-13T03:00:00+08:00
51,49,37,40,51,39,2016-02-13T04:00:00+08:00
51,50,38,40,51,39,2016-02-13T05:00:00+08:00
51,49,37,39,51,39,2016-02-13T06:00:00+08:00
51,49,37,39,51,38,2016-02-13T07:00:00+08:00
51,48,36,43,51,38,2016-02-13T08:00:00+08:00
51,48,36,39,51,37,2016-02-13T09:00:00+08:00
