input_value,input_label,pred_value,pred_label
58,elevated,58.772114,elevated
39,normal,39.51521,normal
56,elevated,57.689857,elevated
39,normal,41.639824,normal
56,elevated,58.858025,elevated
52,normal,52.117603,normal
59,elevated,57.090504,elevated
47,normal,52.356094,normal
47,normal,43.25003,normal
54,normal,54.9974,normal
58,elevated,59.184063,elevated
62,elevated,64.41323,elevated
67,elevated,67.5248,elevated
55,normal,56.401817,elevated
46,normal,43.69973,normal
34,normal,34.21952,normal
48,normal,47.45475,normal
56,elevated,56.564117,elevated
60,elevated,62.094078,elevated
58,elevated,61.157734,elevated
53,normal,54.03821,normal
66,elevated,66.8029,elevated
58,elevated,58.573708,elevated
44,normal,49.543724,normal
53,normal,55.012512,elevated
61,elevated,63.14934,elevated
54,normal,53.44235,normal
22,normal,26.445372,normal
60,elevated,59.537525,elevated
44,normal,45.758488,normal
51,normal,52.85886,normal
52,normal,52.08202,normal
66,elevated,67.76794,elevated
46,normal,46.003857,normal
56,elevated,57.16485,elevated
79,elevated,80.0156,elevated
56,elevated,56.7188,elevated
42,normal,41.383778,normal
42,normal,47.48655,normal
28,normal,27.690172,normal
54,normal,53.902763,normal
19,normal,19.69807,normal
52,normal,46.302967,normal
45,normal,44.975033,normal
29,normal,30.94458,normal
50,normal,52.85563,normal
56,elevated,57.4109,elevated
59,elevated,60.7468,elevated
35,normal,37.89078,normal
47,normal,51.177197,normal
55,normal,58.049686,elevated
75,elevated,77.37529,elevated
46,normal,44.345264,normal
58,elevated,59.123974,elevated
45,normal,44.652546,normal
38,normal,39.916794,normal
57,elevated,56.232616,elevated
61,elevated,60.83983,elevated
44,normal,44.914154,normal
58,elevated,59.421394,elevated
69,elevated,68.05332,elevated
47,normal,49.31563,normal
54,normal,54.72976,normal
60,elevated,61.013527,elevated
52,normal,54.026356,normal
40,normal,42.01148,normal
59,elevated,59.339836,elevated
55,normal,56.518364,elevated
57,elevated,57.95655,elevated
25,normal,26.70863,normal
58,elevated,57.937138,elevated
62,elevated,62.929806,elevated
31,normal,34.56232,normal
50,normal,49.82646,normal
58,elevated,59.117687,elevated
47,normal,47.362247,normal
52,normal,53.392124,normal
53,normal,53.44784,normal
39,normal,40.4798,normal
52,normal,52.119305,normal
58,elevated,59.785267,elevated
45,normal,42.467846,normal
53,normal,51.831024,normal
56,elevated,56.647907,elevated
101,elevated,102.27397,elevated
55,normal,55.41299,elevated
49,normal,50.33609,normal
57,elevated,56.79132,elevated
21,normal,20.516836,normal
40,normal,44.935474,normal
34,normal,35.746284,normal
48,normal,50.185547,normal
55,normal,55.46592,elevated
49,normal,51.562542,normal
58,elevated,56.297157,elevated
52,normal,47.676426,normal
46,normal,51.00496,normal
57,elevated,56.773838,elevated
67,elevated,66.24892,elevated
94,elevated,98.23942,elevated
51,normal,51.60577,normal
49,normal,49.115227,normal
31,normal,34.18291,normal
57,elevated,56.874268,elevated
52,normal,51.649963,normal
23,normal,24.554949,normal
59,elevated,58.377018,elevated
62,elevated,62.045467,elevated
85,elevated,88.42884,elevated
54,normal,53.000065,normal
51,normal,52.573036,normal
53,normal,52.75279,normal
46,normal,49.24949,normal
52,normal,52.40847,normal
49,normal,49.73655,normal
61,elevated,62.5549,elevated
39,normal,39.49786,normal
39,normal,41.865692,normal
65,elevated,65.85164,elevated
58,elevated,57.599968,elevated
52,normal,53.331165,normal
38,normal,35.300438,normal
52,normal,55.29675,elevated
42,normal,41.878952,normal
53,normal,54.581997,normal
33,normal,32.43283,normal
47,normal,47.24274,normal
72,elevated,74.5124,elevated
37,normal,40.05951,normal
56,elevated,56.13694,elevated
52,normal,53.778397,normal
56,elevated,56.604836,elevated
56,elevated,57.663906,elevated
55,normal,55.509556,elevated
64,elevated,64.10311,elevated
65,elevated,64.403824,elevated
59,elevated,60.57159,elevated
