input_value,input_label,pred_value,pred_label
56,elevated,57.562134,elevated
44,normal,40.72318,normal
59,elevated,59.3573,elevated
30,normal,31.124289,normal
58,elevated,62.595615,elevated
45,normal,43.813675,normal
58,elevated,57.448242,elevated
43,normal,48.002472,normal
47,normal,41.906506,normal
55,normal,53.85217,normal
57,elevated,58.72661,elevated
56,elevated,55.34922,elevated
60,elevated,58.953823,elevated
53,normal,54.020393,normal
43,normal,40.28722,normal
33,normal,31.312557,normal
43,normal,43.90796,normal
55,normal,54.993366,normal
59,elevated,60.991833,elevated
59,elevated,60.958725,elevated
59,elevated,57.453968,elevated
71,elevated,70.71921,elevated
59,elevated,57.976257,elevated
51,normal,52.44174,normal
52,normal,51.210682,normal
60,elevated,59.629414,elevated
53,normal,52.206215,normal
22,normal,24.646679,normal
59,elevated,58.29238,elevated
53,normal,54.76386,normal
57,elevated,57.313286,elevated
56,elevated,51.28181,normal
58,elevated,55.831886,elevated
51,normal,48.626537,normal
53,normal,52.72697,normal
75,elevated,74.53056,elevated
57,elevated,55.388657,elevated
39,normal,38.536037,normal
44,normal,44.935047,normal
31,normal,28.23742,normal
48,normal,48.334137,normal
36,normal,34.381783,normal
53,normal,51.480038,normal
48,normal,46.87807,normal
36,normal,38.721058,normal
53,normal,52.96352,normal
58,elevated,59.572914,elevated
60,elevated,60.083794,elevated
38,normal,41.012447,normal
41,normal,42.130302,normal
54,normal,56.088947,elevated
70,elevated,68.894035,elevated
46,normal,46.6036,normal
54,normal,54.814785,normal
55,normal,54.555767,normal
58,elevated,58.27325,elevated
56,elevated,55.787586,elevated
58,elevated,57.682533,elevated
54,normal,50.78292,normal
66,elevated,65.04088,elevated
64,elevated,62.54554,elevated
49,normal,50.443684,normal
53,normal,52.551853,normal
57,elevated,57.100437,elevated
46,normal,48.41765,normal
38,normal,36.957977,normal
57,elevated,57.136364,elevated
54,normal,54.1814,normal
59,elevated,58.89089,elevated
38,normal,33.241287,normal
56,elevated,55.307037,elevated
57,elevated,56.712906,elevated
38,normal,36.09253,normal
