input_value,input_label,pred_value,pred_label
56,elevated,55.166107,elevated
31,normal,33.334946,normal
55,normal,54.512238,normal
25,normal,26.780985,normal
59,elevated,60.89566,elevated
31,normal,32.113956,normal
59,elevated,56.022957,elevated
55,normal,57.757534,elevated
40,normal,35.871525,normal
55,normal,53.883926,normal
54,normal,54.472843,normal
69,elevated,69.0144,elevated
57,elevated,55.112503,elevated
38,normal,37.636166,normal
52,normal,49.08382,normal
51,normal,46.691727,normal
40,normal,38.67351,normal
56,elevated,54.462975,normal
58,elevated,57.326553,elevated
55,normal,55.783195,elevated
48,normal,46.20044,normal
63,elevated,61.450623,elevated
58,elevated,56.481842,elevated
39,normal,39.80445,normal
47,normal,46.090385,normal
55,normal,54.982494,normal
49,normal,50.114166,normal
17,normal,19.231438,normal
62,elevated,60.31429,elevated
55,normal,55.209023,elevated
57,elevated,56.11002,elevated
49,normal,45.003666,normal
58,elevated,57.45473,elevated
36,normal,33.35521,normal
77,elevated,75.87384,elevated
68,elevated,65.483215,elevated
61,elevated,59.570564,elevated
36,normal,34.227093,normal
48,normal,49.755783,normal
58,elevated,54.9076,normal
61,elevated,57.808422,elevated
36,normal,34.037956,normal
47,normal,39.979412,normal
51,normal,49.240643,normal
37,normal,37.63761,normal
48,normal,49.44574,normal
57,elevated,55.2799,elevated
54,normal,52.827225,normal
44,normal,44.663307,normal
33,normal,35.591213,normal
70,elevated,68.74721,elevated
64,elevated,62.55861,elevated
59,elevated,57.813396,elevated
48,normal,47.94509,normal
45,normal,43.372284,normal
52,normal,47.061893,normal
52,normal,51.3016,normal
54,normal,52.33806,normal
52,normal,50.585453,normal
59,elevated,57.10363,elevated
70,elevated,67.17124,elevated
43,normal,44.055553,normal
49,normal,49.79568,normal
55,normal,54.580906,normal
35,normal,35.18556,normal
39,normal,39.405777,normal
53,normal,52.264366,normal
52,normal,52.623676,normal
56,elevated,55.236977,elevated
25,normal,24.466686,normal
53,normal,51.573795,normal
55,normal,54.03994,normal
37,normal,36.24711,normal
48,normal,49.85252,normal
38,normal,40.187283,normal
41,normal,40.939163,normal
58,elevated,57.05103,elevated
56,elevated,55.82601,elevated
39,normal,39.311947,normal
48,normal,45.126457,normal
33,normal,33.407867,normal
31,normal,29.653086,normal
59,elevated,55.762653,elevated
58,elevated,57.98659,elevated
91,elevated,92.902214,elevated
58,elevated,57.725304,elevated
33,normal,30.825272,normal
53,normal,50.034294,normal
27,normal,25.691795,normal
44,normal,43.446526,normal
24,normal,24.793045,normal
32,normal,33.614662,normal
61,elevated,59.733536,elevated
52,normal,51.301605,normal
58,elevated,55.39778,elevated
55,normal,52.551945,normal
55,normal,58.780666,elevated
64,elevated,62.39768,elevated
62,elevated,60.21002,elevated
86,elevated,85.60521,elevated
35,normal,34.592518,normal
55,normal,54.24904,normal
54,normal,54.31069,normal
48,normal,45.646477,normal
33,normal,34.8259,normal
34,normal,32.886257,normal
44,normal,41.933365,normal
66,elevated,64.278435,elevated
88,elevated,89.16636,elevated
54,normal,51.631615,normal
57,elevated,56.752552,elevated
53,normal,51.97515,normal
52,normal,52.267395,normal
51,normal,50.257164,normal
53,normal,51.677097,normal
56,elevated,55.89316,elevated
40,normal,40.42742,normal
39,normal,36.999725,normal
59,elevated,58.218357,elevated
51,normal,48.26978,normal
56,elevated,56.669296,elevated
35,normal,34.88596,normal
44,normal,47.31442,normal
33,normal,29.631416,normal
65,elevated,61.998516,elevated
28,normal,26.228725,normal
29,normal,26.753794,normal
64,elevated,63.147457,elevated
32,normal,34.03318,normal
53,normal,48.283085,normal
42,normal,42.546772,normal
60,elevated,59.638573,elevated
62,elevated,60.549137,elevated
41,normal,42.305378,normal
60,elevated,59.124172,elevated
67,elevated,62.877983,elevated
56,elevated,54.895084,normal
65,elevated,64.04025,elevated
60,elevated,60.129658,elevated
52,normal,51.302357,normal
58,elevated,55.956146,elevated
49,normal,45.78817,normal
41,normal,39.468334,normal
61,elevated,60.296165,elevated
35,normal,32.513527,normal
61,elevated,61.370678,elevated
35,normal,32.393044,normal
57,elevated,55.964714,elevated
70,elevated,73.12977,elevated
45,normal,43.373665,normal
46,normal,42.628902,normal
53,normal,51.90726,normal
54,normal,52.272472,normal
37,normal,36.722733,normal
51,normal,49.61503,normal
26,normal,26.302334,normal
26,normal,28.59663,normal
45,normal,44.10601,normal
32,normal,29.669594,normal
57,elevated,56.44266,elevated
45,normal,46.55588,normal
57,elevated,55.75652,elevated
36,normal,35.720444,normal
54,normal,53.042805,normal
55,normal,53.646465,normal
54,normal,53.198116,normal
47,normal,50.323597,normal
63,elevated,61.23986,elevated
59,elevated,57.361282,elevated
40,normal,41.260235,normal
40,normal,42.95184,normal
60,elevated,58.674644,elevated
38,normal,39.031853,normal
49,normal,49.67259,normal
55,normal,53.49312,normal
57,elevated,56.01216,elevated
54,normal,53.302567,normal
64,elevated,61.412918,elevated
58,elevated,56.960697,elevated
55,normal,53.057705,normal
42,normal,42.215286,normal
69,elevated,76.16496,elevated
61,elevated,60.998737,elevated
55,normal,54.15,normal
53,normal,51.11699,normal
57,elevated,56.66899,elevated
34,normal,33.24946,normal
36,normal,34.98727,normal
74,elevated,71.96988,elevated
51,normal,49.99646,normal
64,elevated,62.004856,elevated
43,normal,44.582935,normal
51,normal,50.07478,normal
52,normal,46.193672,normal
60,elevated,61.599373,elevated
61,elevated,59.828022,elevated
63,elevated,62.232998,elevated
53,normal,51.31842,normal
58,elevated,57.879444,elevated
53,normal,53.04755,normal
64,elevated,65.036804,elevated
46,normal,44.97368,normal
