input_value,input_label,pred_value,pred_label
58,elevated,58.059,elevated
33,normal,30.016918,normal
56,elevated,55.789383,elevated
45,normal,46.878586,normal
55,normal,58.457584,elevated
52,normal,50.2965,normal
60,elevated,60.269287,elevated
55,normal,59.234276,elevated
47,normal,47.719955,normal
55,normal,55.031895,elevated
58,elevated,58.178024,elevated
69,elevated,69.14878,elevated
59,elevated,59.644615,elevated
56,elevated,56.96553,elevated
52,normal,50.48457,normal
51,normal,47.964336,normal
35,normal,33.81489,normal
57,elevated,56.220783,elevated
57,elevated,57.772446,elevated
56,elevated,58.50535,elevated
52,normal,50.408035,normal
71,elevated,70.71723,elevated
56,elevated,56.27499,elevated
51,normal,52.59091,normal
52,normal,51.67329,normal
59,elevated,58.56059,elevated
41,normal,41.179325,normal
33,normal,37.57019,normal
62,elevated,61.48548,elevated
53,normal,52.890133,normal
52,normal,51.87002,normal
56,elevated,51.435978,normal
66,elevated,67.09872,elevated
49,normal,48.59534,normal
77,elevated,78.607315,elevated
75,elevated,74.76594,elevated
54,normal,54.189648,normal
42,normal,40.859283,normal
40,normal,41.843933,normal
53,normal,53.073624,normal
61,elevated,59.408443,elevated
28,normal,27.030758,normal
53,normal,51.506866,normal
51,normal,49.90178,normal
37,normal,37.344654,normal
50,normal,51.77966,normal
59,elevated,59.872227,elevated
57,elevated,57.07171,elevated
42,normal,41.341293,normal
44,normal,42.652912,normal
70,elevated,70.33372,elevated
70,elevated,70.39157,elevated
59,elevated,58.828262,elevated
58,elevated,59.06115,elevated
55,normal,55.259308,elevated
58,elevated,58.24434,elevated
53,normal,52.168034,normal
55,normal,54.760807,normal
42,normal,38.004967,normal
67,elevated,66.259926,elevated
68,elevated,67.52563,elevated
33,normal,34.985207,normal
54,normal,54.168636,normal
59,elevated,58.80858,elevated
52,normal,53.684185,normal
53,normal,53.04009,normal
59,elevated,59.017426,elevated
41,normal,40.622288,normal
59,elevated,59.38282,elevated
38,normal,33.77884,normal
57,elevated,55.80394,elevated
57,elevated,57.108612,elevated
40,normal,41.68014,normal
42,normal,42.83702,normal
57,elevated,56.20943,elevated
55,normal,54.967052,normal
47,normal,48.081005,normal
36,normal,37.952797,normal
51,normal,49.801003,normal
55,normal,53.97413,normal
53,normal,55.007523,elevated
47,normal,45.46884,normal
59,elevated,57.316544,elevated
58,elevated,58.713158,elevated
94,elevated,94.36822,elevated
58,elevated,59.27509,elevated
55,normal,55.60383,elevated
56,elevated,55.84541,elevated
26,normal,24.909359,normal
45,normal,44.301468,normal
38,normal,38.243412,normal
48,normal,49.638546,normal
57,elevated,57.11576,elevated
54,normal,54.349777,normal
54,normal,53.091755,normal
60,elevated,58.0237,elevated
55,normal,60.306778,elevated
64,elevated,64.043526,elevated
62,elevated,61.738464,elevated
