input_value,input_label,pred_value,pred_label
58,elevated,58.555435,elevated
51,normal,49.44468,normal
59,elevated,60.501785,elevated
45,normal,48.195847,normal
59,elevated,61.82519,elevated
52,normal,51.69896,normal
60,elevated,60.799973,elevated
52,normal,54.926292,normal
45,normal,48.965034,normal
55,normal,55.73951,elevated
57,elevated,58.11274,elevated
55,normal,58.109795,elevated
67,elevated,67.44624,elevated
42,normal,43.40442,normal
52,normal,51.184433,normal
36,normal,39.581356,normal
48,normal,47.94904,normal
57,elevated,57.07937,elevated
60,elevated,62.04184,elevated
59,elevated,61.58963,elevated
59,elevated,58.65287,elevated
62,elevated,63.22606,elevated
59,elevated,58.97303,elevated
39,normal,41.861076,normal
53,normal,54.704254,normal
61,elevated,62.899117,elevated
54,normal,53.78747,normal
33,normal,39.157845,normal
61,elevated,61.83291,elevated
57,elevated,58.780792,elevated
55,normal,56.857376,elevated
51,normal,50.70397,normal
58,elevated,59.715134,elevated
55,normal,55.414246,elevated
52,normal,53.40821,normal
79,elevated,79.73331,elevated
58,elevated,58.99833,elevated
41,normal,41.186466,normal
48,normal,51.42292,normal
38,normal,40.230385,normal
53,normal,54.23934,normal
22,normal,23.613693,normal
48,normal,43.666775,normal
41,normal,39.981483,normal
33,normal,36.488636,normal
53,normal,54.17056,normal
59,elevated,60.47169,elevated
60,elevated,60.8607,elevated
44,normal,46.720303,normal
47,normal,51.528744,normal
57,elevated,59.084023,elevated
75,elevated,76.4474,elevated
51,normal,52.232567,normal
35,normal,35.963936,normal
46,normal,45.7004,normal
47,normal,45.261353,normal
58,elevated,59.04426,elevated
61,elevated,60.626568,elevated
54,normal,51.559105,normal
60,elevated,59.852066,elevated
70,elevated,69.941986,elevated
49,normal,51.44309,normal
50,normal,52.451477,normal
60,elevated,60.865578,elevated
42,normal,43.956882,normal
53,normal,53.770214,normal
53,normal,54.63533,normal
56,elevated,57.241184,elevated
54,normal,53.371178,normal
27,normal,27.979975,normal
58,elevated,57.647106,elevated
62,elevated,63.026188,elevated
40,normal,42.64221,normal
51,normal,52.185535,normal
58,elevated,58.18691,elevated
55,normal,55.90219,elevated
61,elevated,61.692966,elevated
56,elevated,57.751076,elevated
52,normal,52.626698,normal
51,normal,49.995865,normal
58,elevated,59.595497,elevated
35,normal,35.15742,normal
53,normal,53.81659,normal
58,elevated,59.95982,elevated
101,elevated,103.839096,elevated
55,normal,55.937386,elevated
55,normal,55.77441,elevated
59,elevated,59.367077,elevated
23,normal,24.433123,normal
55,normal,56.459843,elevated
38,normal,39.674007,normal
48,normal,50.61729,normal
59,elevated,59.71779,elevated
54,normal,55.278477,elevated
56,elevated,56.407047,elevated
56,elevated,50.389847,normal
50,normal,53.535515,normal
58,elevated,58.92478,elevated
67,elevated,66.59049,elevated
94,elevated,96.893295,elevated
44,normal,44.874733,normal
52,normal,53.269733,normal
34,normal,37.612198,normal
57,elevated,57.631935,elevated
55,normal,55.283527,elevated
30,normal,31.285105,normal
53,normal,53.63451,normal
62,elevated,63.198063,elevated
88,elevated,92.9634,elevated
52,normal,53.154667,normal
51,normal,52.983932,normal
52,normal,53.842064,normal
60,elevated,61.343754,elevated
56,elevated,56.800365,elevated
54,normal,55.036674,elevated
56,elevated,56.694298,elevated
50,normal,48.762543,normal
41,normal,38.08386,normal
65,elevated,66.360565,elevated
54,normal,53.99904,normal
53,normal,54.214523,normal
51,normal,49.071907,normal
40,normal,42.833054,normal
49,normal,48.564346,normal
53,normal,55.20617,elevated
33,normal,31.95093,normal
49,normal,49.559666,normal
72,elevated,74.249825,elevated
36,normal,39.06788,normal
63,elevated,61.864357,elevated
52,normal,53.960106,normal
