input_value,input_label,pred_value,pred_label
56,elevated,58.416363,elevated
51,normal,49.368008,normal
51,normal,53.137802,normal
29,normal,31.538326,normal
50,normal,55.320576,elevated
42,normal,43.11635,normal
56,elevated,57.732677,elevated
38,normal,47.024456,normal
37,normal,35.826103,normal
49,normal,51.68884,normal
52,normal,53.35411,normal
67,elevated,69.28299,elevated
53,normal,53.54786,normal
56,elevated,57.09983,elevated
32,normal,29.973793,normal
32,normal,34.0315,normal
43,normal,43.6096,normal
55,normal,55.83896,elevated
57,elevated,60.13551,elevated
57,elevated,61.07346,elevated
52,normal,52.677895,normal
55,normal,55.4408,elevated
58,elevated,59.176437,elevated
38,normal,39.675457,normal
42,normal,46.378407,normal
58,elevated,59.618855,elevated
52,normal,53.24527,normal
24,normal,28.021727,normal
54,normal,53.9991,normal
57,elevated,58.919983,elevated
40,normal,41.836315,normal
51,normal,49.796757,normal
61,elevated,61.891994,elevated
55,normal,55.482445,elevated
54,normal,55.482708,elevated
74,elevated,75.16556,elevated
61,elevated,61.77531,elevated
37,normal,35.96954,normal
34,normal,34.65569,normal
58,elevated,57.052055,elevated
41,normal,37.334736,normal
19,normal,19.575668,normal
34,normal,30.722317,normal
40,normal,39.36063,normal
22,normal,21.450706,normal
52,normal,54.676697,normal
56,elevated,57.065796,elevated
54,normal,54.36299,normal
28,normal,30.271152,normal
41,normal,39.830273,normal
61,elevated,60.54323,elevated
69,elevated,68.29127,elevated
57,elevated,59.233093,elevated
40,normal,40.26778,normal
51,normal,52.67906,normal
58,elevated,58.796204,elevated
58,elevated,59.45551,elevated
52,normal,52.52896,normal
46,normal,49.32393,normal
67,elevated,67.12148,elevated
64,elevated,64.38728,elevated
48,normal,50.308914,normal
52,normal,52.98903,normal
58,elevated,60.09468,elevated
51,normal,52.69936,normal
40,normal,42.354877,normal
55,normal,56.158134,elevated
56,elevated,57.604256,elevated
56,elevated,57.101555,elevated
29,normal,29.015455,normal
55,normal,54.9854,normal
56,elevated,57.775726,elevated
32,normal,31.011873,normal
45,normal,48.447296,normal
53,normal,54.200752,normal
52,normal,53.675117,normal
61,elevated,61.955257,elevated
54,normal,55.574657,elevated
48,normal,49.959175,normal
52,normal,53.241592,normal
46,normal,51.73323,normal
38,normal,36.983585,normal
52,normal,52.639366,normal
51,normal,52.93021,normal
87,elevated,90.13321,elevated
53,normal,54.526463,normal
38,normal,37.97444,normal
56,elevated,56.73708,elevated
19,normal,19.115637,normal
55,normal,57.30522,elevated
34,normal,34.09546,normal
46,normal,46.865055,normal
61,elevated,61.7664,elevated
45,normal,53.142826,normal
54,normal,55.94409,elevated
45,normal,49.914833,normal
28,normal,28.640535,normal
55,normal,55.866783,elevated
64,elevated,62.856674,elevated
84,elevated,88.35409,elevated
41,normal,39.92074,normal
42,normal,42.36296,normal
32,normal,34.635124,normal
56,elevated,57.638268,elevated
54,normal,55.413155,elevated
21,normal,22.613241,normal
55,normal,53.307384,normal
62,elevated,62.76229,elevated
80,elevated,83.47681,elevated
38,normal,38.998825,normal
47,normal,48.451107,normal
39,normal,38.99369,normal
60,elevated,61.67213,elevated
51,normal,50.20187,normal
52,normal,53.045296,normal
55,normal,56.232483,elevated
33,normal,32.28056,normal
31,normal,30.239935,normal
58,elevated,60.147156,elevated
50,normal,43.314255,normal
49,normal,48.00005,normal
47,normal,43.33054,normal
55,normal,56.278004,elevated
44,normal,41.262264,normal
54,normal,54.994984,normal
26,normal,25.041407,normal
47,normal,44.901535,normal
59,elevated,61.614117,elevated
56,elevated,56.165104,elevated
57,elevated,57.187935,elevated
53,normal,54.95848,normal
58,elevated,59.879467,elevated
60,elevated,61.673836,elevated
53,normal,53.41128,normal
58,elevated,58.922443,elevated
58,elevated,57.375114,elevated
58,elevated,58.85282,elevated
58,elevated,58.32371,elevated
62,elevated,64.347046,elevated
40,normal,43.221832,normal
46,normal,47.65753,normal
52,normal,52.374043,normal
48,normal,48.66918,normal
57,elevated,58.221153,elevated
43,normal,42.075317,normal
61,elevated,61.91204,elevated
54,normal,56.027637,elevated
53,normal,54.388718,normal
62,elevated,64.39308,elevated
44,normal,44.857594,normal
41,normal,41.945908,normal
64,elevated,65.86384,elevated
53,normal,53.368027,normal
51,normal,52.29885,normal
42,normal,50.15544,normal
29,normal,28.972887,normal
33,normal,36.691532,normal
53,normal,52.998493,normal
31,normal,29.501585,normal
55,normal,55.506023,elevated
35,normal,39.260826,normal
55,normal,56.07441,elevated
44,normal,45.637978,normal
55,normal,57.040016,elevated
56,elevated,57.361988,elevated
56,elevated,57.05615,elevated
29,normal,30.166466,normal
55,normal,56.263187,elevated
59,elevated,59.743225,elevated
24,normal,24.509212,normal
35,normal,37.571865,normal
57,elevated,55.895103,elevated
45,normal,48.90296,normal
55,normal,56.504185,elevated
49,normal,51.910168,normal
55,normal,56.462563,elevated
56,elevated,57.851833,elevated
64,elevated,64.60567,elevated
56,elevated,56.884712,elevated
46,normal,45.945267,normal
54,normal,56.21396,elevated
62,elevated,61.316223,elevated
42,normal,44.444675,normal
39,normal,41.761364,normal
52,normal,52.870434,normal
52,normal,53.535774,normal
53,normal,54.67534,normal
55,normal,55.54811,elevated
69,elevated,69.01686,elevated
47,normal,48.107616,normal
60,elevated,61.203053,elevated
33,normal,42.881767,normal
56,elevated,56.815914,elevated
60,elevated,60.676243,elevated
66,elevated,68.15049,elevated
51,normal,50.763546,normal
63,elevated,65.26866,elevated
54,normal,55.877983,elevated
57,elevated,58.525784,elevated
55,normal,56.86497,elevated
64,elevated,64.72032,elevated
52,normal,52.295124,normal
52,normal,52.28352,normal
63,elevated,63.521843,elevated
37,normal,40.085712,normal
64,elevated,64.24049,elevated
52,normal,52.715187,normal
44,normal,44.177868,normal
58,elevated,59.521606,elevated
61,elevated,62.701336,elevated
44,normal,45.143932,normal
48,normal,49.29879,normal
54,normal,57.413162,elevated
54,normal,55.957787,elevated
42,normal,41.50507,normal
56,elevated,58.926254,elevated
30,normal,27.682362,normal
42,normal,43.12583,normal
52,normal,51.338562,normal
65,elevated,64.96886,elevated
47,normal,46.40467,normal
36,normal,36.899273,normal
32,normal,38.017456,normal
57,elevated,58.72259,elevated
56,elevated,58.088936,elevated
18,normal,19.098164,normal
59,elevated,59.625317,elevated
53,normal,53.94002,normal
63,elevated,62.616943,elevated
54,normal,57.97207,elevated
34,normal,36.395405,normal
46,normal,51.139015,normal
55,normal,57.43666,elevated
47,normal,50.24004,normal
55,normal,55.724194,elevated
58,elevated,59.93673,elevated
44,normal,48.027115,normal
